Organism,C.Size(Mb),GC%,CDS
Morus notabilis,0.15868,36.3619,83
Murraya koenigii,0.159402,38.5409,85
Musa balbisiana,0.169503,36.7616,89
Musa itinerans,0.168985,36.8163,88
Musella lasiocarpa,0.169178,36.7353,87
Mychonastes homosphaera CAUP H6502,0.102718,39.7749,69
Mychonastes jurisii,0.103047,39.58,72
Myriopteris lindheimeri,0.15577,42.7245,88
Myrmecia israelensis,0.146596,30.3787,78
Nageia nagi,0.133722,37.2646,81
Najas flexilis,0.156366,38.2167,74
Nandina domestica,0.156599,38.3246,85
Nannochloropsis gaditana 3B,0.114989,32.9501,119
Nannochloropsis granulata,0.117672,33.3316,125
Nannochloropsis limnetica CCMP505,0.117806,33.5365,124
Nannochloropsis oceanica CCMP531,0.117557,33.6135,126
Nannochloropsis oculata CCMP525,0.117463,33.3594,126
Nannochloropsis salina CCMP537,0.114882,33.0713,123
Nasturtium officinale,0.155105,36.3702,85
Nelumbo lutea,0.163206,38.0109,85
Nelumbo nucifera,0.16333,37.9728,84
Nematopoa longipes,0.134459,38.2659,83
Neocarya macrophylla,0.162674,36.1348,83
Neochloris aquatica UTEX 138,0.166767,30.3142,67
Neocinnamomum delavayi,0.15085,38.8392,81
Neocystis brevis,0.211747,31.3827,84
Neodangemannia microcystis,0.166355,33.6593,92
Neotorularia korolkowii,0.153892,36.3359,83
Neottia ovata,0.156978,37.5581,88
Neottia pinetorum,0.155959,37.5227,85
Nephroselmis astigmatica,0.125042,40.4784,92
Nephroselmis olivacea,0.200799,42.1436,155
Nepsera aquatica,0.15511,37.0524,85
Netrium digitus,0.131804,31.367,94
Neyraudia reynaudiana,0.135367,38.3587,85
Nicotiana attenuata,0.155886,37.8616,84
Nicotiana otophora,0.156073,37.7061,108
Nicotiana sylvestris,0.155941,37.8464,110
Nicotiana sylvestris CCMP2878,0.120426,36.6258,78
Nicotiana tomentosiformis,0.155745,37.7906,102
Nicotiana undulata,0.155863,37.8781,110
Nolina atopocarpa,0.156792,37.618,85
Nuphar advena,0.160866,39.1208,85
Nyholmiella obtusifolia,0.122895,28.4495,81
Nymphaea alba,0.15993,39.1509,85
Nymphaea ampla,0.159881,39.1967,85
Nymphaea jamesoniana,0.15883,39.1803,84
Nymphaea mexicana,0.159962,39.0818,89
Oberonia japonica,0.142996,37.3682,74
Ocimum basilicum,0.152407,37.8355,84
Oedocladium carolinianum,0.204438,29.7812,83
Oedogonium cardiacum SAG 575-1b,0.196547,29.5197,99
Oenothera argillicola,0.165061,39.1304,84
Oenothera biennis,0.164807,39.0712,84
Oenothera glazioviana,0.165359,39.0018,84
Oenothera grandiflora Stockton 1,0.166545,39.0771,84
Oenothera oakesiana ammophila Standard,0.163575,39.0445,84
Oenothera parviflora,0.163365,39.0567,84
Oenothera villaricae berteriana Schwemmle,0.165779,38.8958,87
Olea europaea,0.155888,37.8015,86
Olea europaea subsp. cuspidata,0.155862,37.8104,85
Olea europaea subsp. maroccana,0.155896,37.8053,85
Olea woodiana subsp. woodiana,0.155942,37.7942,85
Oligostachyum shiuyingianum,0.139647,38.9153,82
Olimarabidopsis pumila JS2,0.154737,36.4813,85
Oltmannsiellopsis viridis,0.151933,40.4652,93
Oncidium hybrid cultivar,0.146484,37.3188,74
Oncorachis ramosa,0.139873,38.5335,83
Onoclea sensibilis,0.148395,44.4152,88
Oogamochlamys gigantea,0.254077,35.22,81
Ophidocladus simpliciusculus,0.168531,28.053,203
Ophioglossum californicum,0.13827,42.1545,84
Opisthocentra clidemioides,0.156352,37.0312,85
Oplismenus hirtellus,0.137424,38.5784,83
Oritrophium peruvianum,0.151723,37.3576,85
Orobanche austrohispanica,0.081994,35.0879,29
Orobanche californica,0.12084,36.6907,45
Orobanche crenata,0.087529,35.1861,36
Orobanche densiflora,0.083024,35.5379,32
Orobanche gracilis,0.065533,34.5551,24
Orobanche pancicii,0.088525,35.2432,32
Orobanche rapum-genistae,0.091517,35.495,31
Orthotrichum rogeri,0.123363,28.361,81
Orychophragmus diffusus,0.153777,36.2889,85
Orychophragmus hupehensis,0.153184,36.3517,85
Orychophragmus taibaiensis,0.153255,36.3388,85
Oryza alta,0.135175,38.9961,87
Oryza australiensis,0.135224,38.9487,83
Oryza barthii,0.134674,38.9897,82
Oryza brachyantha,0.134604,38.981,83
Oryza eichingeri,0.134821,39.0021,87
Oryza glumipatula,0.134583,38.9886,83
Oryza grandiglumis,0.13515,38.9937,87
Oryza latifolia,0.13519,38.9933,87
Oryza longiglumis,0.135641,38.93,87
Oryza longistaminata,0.134567,38.9895,83
Oryza meridionalis,0.134558,39.0085,75
Oryza meyeriana,0.136133,38.9443,86
Oryza minuta,0.135094,38.9647,89
Oryza nivara SL10,0.134494,39.0084,119
Oryza officinalis,0.134911,38.9983,83
Oryza punctata,0.134604,38.9743,100
Oryza rhizomatis,0.134796,39.0101,87
Oryza ridleyi,0.135731,38.9174,87
Oryza rufipogon,0.134544,39.0029,77
Oryza sativa,0.134502,38.9979,100
Oryza sativa Indica Group,0.134496,38.9989,64
Oryza sativa Indica Group,0.134551,39.0023,94
Oryza sativa Indica Group,0.134546,39.0008,0
Osmundaria fimbriata,0.183995,28.341,224
Osmundastrum cinnamomeum,0.142812,40.2305,84
Ostericum grosseserratum,0.147282,37.5375,83
Ostreococcus tauri OTTH0595,0.071666,39.8948,61
Ostrya rehderiana,0.159347,36.4569,85
Ostrya trichocarpa,0.159122,36.4607,85
Osyris alba,0.147253,37.6644,74
Otachyrium versicolor,0.140081,38.5027,83
Oxyria sinensis,0.160404,37.544,83
Oziroe biflora,0.155633,37.645,86
Pachycladon cheesemanii,0.154498,36.4302,85
Pachycladon enysii,0.154896,36.3915,84
Pachysandra terminalis,0.160623,38.2928,88
Paeonia delavayi,0.154405,38.3789,85
Paeonia ludlowii,0.152687,38.4381,87
Paeonia obovata,0.152698,38.4353,83
Paeonia veitchii,0.152682,38.4158,84
Palmophyllum crassum,0.079397,27.5741,86
Panax ginseng,0.156318,38.1082,85
Panax japonicus,0.156188,38.0682,87
Panax notoginseng,0.156387,38.0799,87
Panax quinquefolius,0.156088,38.074,85
Panax stipuleanatus,0.156064,38.0312,86
Panax vietnamensis,0.155993,38.0536,87
Panicum capillare,0.13452,38.5088,83
Panicum lycopodioides,0.138954,38.6056,82
Panicum pygmaeum,0.140996,38.6429,82
Panicum sumatrense,0.139384,38.6242,85
Panicum virgatum,0.139619,38.5972,85
Papaver somniferum,0.152931,38.8554,85
Paphiopedilum armeniacum,0.162682,35.3881,77
Paphiopedilum niveum,0.159108,35.6909,74
Parachlorella kessleri,0.123994,29.999,84
Paradoxia multiseta,0.183394,50.5834,90
Parahyparrhenia siamensis,0.140355,38.3934,83
Pararchidendron pruinosum,0.176692,35.3395,92
Parastemon urophyllus,0.162588,36.2056,83
Parastrephia quadrangularis,0.152427,37.3084,85
Parinari campestris,0.162637,36.2175,83
Parinari capensis,0.162487,36.2257,83
Parinari curatellifolia,0.162647,36.182,83
Parinari oblongifolia,0.162512,36.2102,83
Paris cronquistii,0.156896,37.2922,84
Paris luquanensis,0.157594,37.2984,84
Paris mairei,0.157079,37.2851,84
Paris marmorata,0.156755,37.364,84
Paris polyphylla var. chinensis,0.157847,37.1993,84
Paris quadrifolia,0.157907,37.6519,86
Paris vietnamensis,0.158224,37.1739,86
Parkia javanica,0.161681,35.8917,83
Parthenium argentatum,0.152803,37.6079,55
Paspalidium geminatum,0.139142,38.5721,83
Paspalum dilatatum,0.13595,38.6708,83
Paspalum fimbriatum,0.140804,38.7432,83
Paspalum glaziovii,0.139255,38.7203,83
Paspalum paniculatum,0.157507,39.0376,82
Passiflora edulis,0.151406,37.0078,76
Paulownia coreana,0.154545,37.9857,87
Paulownia tomentosa,0.15454,37.9869,87
Pavlova lutheri ATCC 50092,0.095281,35.5968,111
Pediastrum duplex,0.232554,32.5722,111
Pedicularis cheilanthifolia,0.155159,37.6788,87
Pedicularis ishidoyana,0.152571,38.0937,77
Pedinomonas minor,0.09834,34.8393,82
Pedinomonas tuberculata,0.126694,33.4333,83
Pelargonium alternans,0.173374,38.8859,97
Pelargonium australe,0.165508,39.357,97
Pelargonium citronellum,0.171223,39.0672,97
Pelargonium cotyledonis,0.166111,39.3032,97
Pelargonium cucullatum,0.170963,39.0207,97
Pelargonium dichondrifolium,0.167836,39.3634,97
Pelargonium dolomiticum,0.202749,39.7141,117
Pelargonium echinatum,0.170212,39.0072,97
Pelargonium exhibens,0.171665,39.8817,98
Pelargonium exstipulatum,0.168732,39.3725,97
Pelargonium fulgidum,0.171502,38.9237,97
Pelargonium incrassatum,0.173196,38.8791,97
Pelargonium myrrhifolium,0.173272,39.9084,99
Pelargonium nanum,0.173496,39.0787,97
Pelargonium quercifolium,0.170569,39.037,97
Pelargonium tetragonum,0.17341,39.8264,99
Pelargonium transvaalense,0.242575,39.887,132
Pelargonium trifidum,0.199553,39.6341,116
Pelargonium x hortorum,0.217942,39.6087,131
Pelatantheria scolopendrifolia,0.14686,36.5266,74
Pentactina rupicola,0.156612,36.7954,84
Penthorum chinense,0.156686,37.2771,82
Pericallis hybrida,0.151267,37.3261,87
Perilla citriodora,0.152588,37.826,88
Perilla frutescens,0.152602,37.8239,88
Perilla setoyensis,0.152656,37.8092,88
Periphykon beckeri,0.168283,28.4295,202
Persea americana,0.152723,39.1041,81
Petroselinum crispum,0.15289,37.7821,84
Peucedanum insolens,0.156912,37.6835,85
Peucedanum japonicum,0.164653,37.4551,99
Phacotus lenticularis,0.203369,32.6402,75
Phaenanthoecium koestlinii,0.133327,38.4206,83
Phaeocystis globosa Pg-G(A),0.107461,35.4203,108
Phaeodactylum tricornutum,0.117369,32.5597,132
Phalaenopsis aphrodite subsp. formosana,0.148964,36.6505,95
Phalaenopsis equestris,0.148959,36.6524,73
Phalaenopsis hybrid cultivar,0.148918,36.6645,73
Pharus lappulaceus,0.141928,38.4286,84
Pharus latifolius,0.142077,38.375,76
Phaseolus vulgaris,0.150285,35.442,83
Phedimus takesimensis,0.147048,38.0842,84
Pheidochloa gracilis,0.134979,38.5779,83
Phelipanche purpurea,0.062891,31.0839,30
Phelipanche ramosa,0.062304,32.0557,27
Phellodendron amurense,0.158442,38.3819,88
Phoebe bournei,0.152853,39.1474,81
Phoebe chekiangensis,0.152849,39.1439,81
Phoebe omeiensis,0.152855,39.1351,81
Phoebe sheareri,0.152876,39.1363,81
Phoenix dactylifera,0.158462,37.2329,95
Phragmipedium longifolium,0.151157,36.0738,73
Phragmites australis,0.137561,38.6527,85
Phyllostachys edulis,0.139679,38.8834,84
Phyllostachys nigra var. henonis,0.139839,38.9047,84
Phyllostachys propinqua,0.139704,38.8758,83
Phyllostachys sulphurea,0.139731,38.889,85
Phyllostegia velutina HI0361,0.150131,38.4704,88
Physcomitrella patens,0.12289,28.5296,85
Picea abies,0.124084,38.7278,74
Picea asperata,0.124145,38.7136,73
Picea crassifolia,0.124126,38.7179,73
Picea glauca,0.123266,38.7617,74
Picea jezoensis,0.124146,38.7576,74
Picea morrisonicola,0.124168,38.7902,71
Picea sitchensis,0.120176,39.2616,64
Picocystis salinarum,0.081133,37.2512,80
Pinellia ternata,0.164013,36.6629,86
Pinguicula ehlersiae,0.147147,38.1938,72
Pinus armandii,0.117265,38.7891,74
Pinus bungeana,0.117861,38.8322,71
Pinus contorta,0.120438,38.8905,70
Pinus gerardiana,0.117618,38.8997,70
Pinus koraiensis,0.11719,38.7951,273
Pinus krempfii,0.116989,38.9122,69
Pinus lambertiana,0.117239,38.7917,71
Pinus longaeva,0.117726,38.8351,0
Pinus massoniana,0.119739,38.5455,73
Pinus monophylla,0.116479,38.7297,70
Pinus nelsonii,0.116834,38.8877,70
Pinus sibirica,0.116635,38.7234,81
Pinus sylvestris,0.119758,38.5001,73
Pinus tabuliformis,0.119646,38.5262,74
Pinus taeda,0.12153,38.5008,71
Pinus taiwanensis,0.119741,38.5089,92
Pinus thunbergii,0.119707,38.4957,123
Piper cenocladum,0.160624,38.3125,85
Piper kadsura,0.161486,38.3129,85
Piptadenia communis,0.162552,35.9048,83
Pisum sativum,0.122169,34.828,74
Pithecellobium flexicaule,0.178887,35.0657,94
Plagiantha tenella,0.139722,38.5344,83
Planctonema lauterbornii,0.114128,33.1742,82
Platanus occidentalis,0.161791,38.0318,85
Platycarya strobilacea,0.160994,36.0361,85
Platycodon grandiflorus,0.171818,38.1182,95
Platysiphonia delicata,0.171598,29.0848,205
Pleioblastus maculatus,0.13972,38.8999,82
Pleurastrum terricola,0.195081,27.2564,88
Pleurocladia lacustris Sa2,0.138815,29.8347,144
Pleurospermum camtschaticum,0.155415,37.9732,84
Plinia trunciflora,0.159512,37.011,84
Podocarpus lambertii,0.133734,37.1147,82
Podocarpus totara,0.133259,37.1607,75
Podococcus barteri,0.157688,37.6573,90
Pogonatherum paniceum,0.139205,38.416,83
Pogostemon stellatus,0.151824,38.2212,87
Pogostemon yatabeanus,0.152707,38.162,87
Polygonatum cyrtonema,0.153503,37.183,83
Polygonatum sibiricum,0.15296,37.9452,84
Polygonatum stenophyllum,0.156028,37.6746,85
Polygonatum verticillatum,0.154639,37.8313,84
Polysiphonia brodiei,0.169795,28.9573,211
Polysiphonia elongata,0.16829,28.8336,206
Polysiphonia infestans,0.165237,29.4184,207
Polysiphonia schneideri,0.163271,28.0515,203
Polysiphonia scopulorum,0.168001,29.1671,206
Polysiphonia sertularioides,0.166,29.6151,203
Polysiphonia stricta,0.169061,28.9552,201
Polytoca digitata,0.140892,38.3918,82
Populus adenopoda,0.158591,36.6969,86
Populus alba,0.156505,36.742,83
Populus balsamifera,0.157094,36.6519,81
Populus davidiana,0.155853,36.7628,86
Populus euphratica,0.156766,36.7146,84
Populus fremontii,0.157446,36.6748,81
Populus ilicifolia,0.158017,36.5359,81
Populus lasiocarpa,0.155783,36.8519,83
Populus qiongdaoensis,0.156074,36.7499,86
Populus rotundifolia,0.155355,36.7706,86
Populus tremula,0.156067,36.7566,86
Populus tremula x Populus alba,0.156641,36.7279,85
Populus trichocarpa,0.157033,36.6751,98
Porphyra purpurea Avonport,0.191028,32.9857,209
Porphyra umbilicalis,0.190173,32.8785,207
Porphyra umbilicalis,0.190173,32.8785,207
Porphyra umbilicalis,0.190173,32.8785,207
Porphyridium purpureum,0.217694,30.3431,224
Pouteria campechiana,0.157922,36.8498,85
Prasinoderma coloniale,0.07775,34.0502,76
Praxelis clematidea,0.15141,37.2333,84
Premna microphylla,0.155293,37.8716,87
Primula chrysochlora,0.151944,37.0386,86
Primula kwangtungensis,0.153757,37.0734,85
Primula persimilis,0.152756,37.2182,85
Primula poissonii,0.151664,37.0187,89
Primula sinensis,0.150859,37.2195,85
Primula stenodonta,0.150785,37.1025,86
Primula veris,0.150856,37.0937,85
Primulina eburnea,0.152963,37.6287,88
Primulina liboensis,0.152989,37.6537,88
Prunus cerasoides,0.157685,36.7213,84
Prunus humilis,0.158012,36.6827,85
Prunus kansuensis,0.157736,36.757,86
Prunus maximowiczii,0.157852,36.7281,84
Prunus padus,0.158955,36.5902,84
Prunus persica,0.15779,36.7596,85
Prunus pseudocerasus,0.157834,36.7316,86
Prunus serotina,0.158778,36.6279,81
Prunus yedoensis,0.157859,36.7302,84
Pseudo-nitzschia multiseries,0.111539,31.3702,104
Pseudocharacium americanum,0.239448,36.9884,89
Pseudochlorella signiensis,0.236463,33.3744,80
Pseudochloris wilhelmii,0.109775,36.6641,84
Pseudolarix amabilis,0.122234,38.4647,74
Pseudolasiacis leptolomoides,0.14048,38.6276,82
Pseudomuriella schumacherensis SAG 2137,0.220357,31.2393,69
Pseudoneochloris marina,0.134753,29.3151,84
Pseudophegopteris aurita,0.149917,43.0692,88
Pseudosasa japonica,0.139641,38.8933,77
Pseudosorghum fasciculare,0.140474,38.3993,83
Pseudotsuga sinensis var. wilsoniana,0.122513,38.7551,73
Psidium guajava,0.158841,37.0119,84
Psilotum nudum,0.138829,36.0314,101
Pteridium aquilinum subsp. aquilinum,0.152362,41.5261,88
Pterogastra divaricata,0.154948,37.188,84
Pterygopleurum neurophyllum,0.154369,37.6112,82
Ptilidium pulcherrimum,0.119007,33.2258,80
Puelia olyriformis,0.140344,38.9735,86
Pugionium cornutum,0.154992,36.2348,85
Pugionium dolabratum,0.155002,36.237,85
Punica granatum,0.158633,36.9223,84
Pycnococcus provasolii CCMP 1203,0.080211,39.5046,68
Pyramimonas parkeae CCMP 726,0.101605,34.705,94
Pyropia haitanensis,0.195597,32.9836,211
Pyropia yezoensis,0.191952,33.1187,209
Pyrus pashia,0.160153,36.5569,84
Pyrus pyrifolia,0.159922,36.5766,83
Quercus aliena,0.160921,36.8846,82
Quercus aquifolioides,0.160415,36.9566,78
Quercus baronii,0.161072,36.8071,86
Quercus dolicholepis,0.161237,36.803,86
Quercus spinosa,0.160825,36.868,86
Quercus variabilis,0.161077,36.7886,86
Ranunculus macranthus,0.155129,37.8833,84
Ranunculus occidentalis,0.154474,37.7973,80
Raphanus sativus,0.153368,36.3394,87
Rehmannia chingii,0.154055,37.9709,87
Rehmannia elata,0.153772,37.9705,87
Rehmannia glutinosa,0.153622,37.9522,88
Rehmannia henryi,0.15389,37.9466,87
Rehmannia piasezkii,0.153925,37.936,87
Rehmannia solanifolia,0.153989,37.9417,88
Retrophyllum piresii,0.133291,37.2568,82
Rhachidosorus consimilis,0.152642,43.4664,88
Rheum palmatum,0.161541,37.3175,84
Rhexia virginica,0.154635,37.205,85
Rhizosolenia imbricata,0.120956,31.7553,135
Rhodomela confervoides,0.175951,29.0285,210
Rhodomonas salina CCMP1319,0.135854,34.7896,146
Rhus chinensis,0.149011,37.7898,82
Rhynchanthera bracteata,0.155108,37.0065,85
Ricinus communis,0.163161,35.742,86
Rosa roxburghii,0.156749,37.2334,88
Rottboellia cochinchinensis,0.140336,38.4028,83
Roundia cardiophora,0.126871,31.0063,140
Roya anglica,0.138275,33.1477,93
Roya obtusa,0.138272,33.1354,90
Sabia yunnanensis,0.16208,38.5988,84
Saccharina japonica,0.130584,31.0543,139
Saccharum arundinaceum,0.14121,38.4491,87
Saccharum hildebrandtii,0.140901,38.4518,82
Saccharum hybrid cultivar,0.141181,38.4386,82
Saccharum hybrid cultivar SP80-3280,0.141182,38.4383,97
Saccharum officinarum,0.141182,38.4412,117
Saccharum officinarum,0.141176,38.4449,106
Saccharum spontaneum,0.141168,38.4492,76
Salicornia bigelovii,0.153076,36.295,83
Salicornia brachiata,0.153324,36.2155,84
Salicornia europaea,0.153232,36.2353,84
Salix babylonica,0.156819,36.6493,83
Salix interior,0.15662,36.9991,80
Salix oreinoma,0.155531,36.6969,85
Salix purpurea,0.15559,36.6855,83
Salix suchowensis,0.155214,36.7338,83
Salix tetrasperma,0.155671,36.6658,85
Salpinga maranonensis,0.153311,37.4161,83
Salvia japonica,0.153995,38.0045,87
Salvia miltiorrhiza,0.151328,38.0207,87
Salvia rosmarinus,0.152462,37.9931,86
Samanea saman,0.176717,35.2592,92
Sambucus williamsii,0.158305,37.9268,84
Sanionia uncinata,0.124374,29.3164,82
Sapindus mukorossi,0.160481,37.6618,88
Saracha punctata,0.156925,37.6798,83
Sarcinofilum mucosum,0.227181,37.2139,89
Sargassum horneri,0.124068,30.6122,139
Sarocalamus faberi,0.139629,38.8881,84
Sartidia dewinteri,0.138074,38.4142,83
Sartidia isaloensis,0.138607,38.3877,82
Sartidia perrieri,0.138471,38.3806,83
Saussurea involucrata,0.15249,37.6707,90
Schefflera delavayi,0.156341,37.8295,87
Schefflera heptaphylla,0.156685,37.9277,86
Schisandra chinensis,0.146859,39.6816,81
Schizachyrium brevifolium,0.138027,38.5997,83
Schizachyrium exile,0.138519,38.5514,83
Schizachyrium imberbe,0.139759,38.4762,83
Schizachyrium sanguineum,0.139272,38.4751,83
Schizachyrium scoparium,0.139274,38.5018,83
Schizachyrium spicatum,0.139205,38.4591,83
Schizachyrium tenerum,0.138555,38.5139,83
Schizaea elegans,0.156603,43.2961,83
Schizaea pectinata,0.156392,44.3667,84
Schizomeris leibleinii,0.182759,27.2402,77
Schoenolirion croceum,0.156605,37.903,84
Schoepfia jasminodora,0.118743,38.1269,72
Schrenkiella parvula,0.153979,36.3615,87
Schwalbea americana,0.16091,38.0797,82
Sciadopitys verticillata,0.138284,35.4206,82
Sciaphila densiflora,0.021485,39.9209,18
Scopolia parviflora,0.156193,37.6156,86
Scrophularia buergeriana,0.153631,37.9891,87
Scutellaria baicalensis,0.152731,38.3766,87
Scutellaria insignis,0.151908,38.3772,87
Secale cereale,0.114843,37.2117,77
Sedum oryzifolium,0.149609,37.6702,85
Sedum sarmentosum,0.150448,37.7459,86
Senna tora,0.162426,35.9616,83
Sequoia sempervirens,0.133929,35.3658,75
Sesamum indicum,0.153324,38.2034,87
Setaria viridis,0.138102,38.7156,85
Sheathia arcuata,0.187354,29.8835,185
Silene capitata,0.150224,36.3577,84
Silene chalcedonica,0.148081,36.3483,81
Silene conica,0.147208,36.1224,80
Silene conoidea,0.147896,36.0213,80
Silene latifolia,0.151736,36.4284,81
Silene noctiflora,0.151639,36.5058,82
Silene paradoxa,0.151632,36.5615,79
Silene vulgaris,0.151583,36.2514,81
Silybum marianum,0.153202,37.7378,87
Sinadoxa corydalifolia,0.157074,37.7555,83
Sinapis arvensis,0.15359,36.3103,87
Sinojackia xylocarpa,0.158725,37.2481,90
Sinopodophyllum hexandrum,0.15794,38.5045,86
Sinowilsonia henryi,0.158741,38.1735,85
Siphocampylus krauseanus,0.164871,39.1506,87
Sobralia aff. bouchei HTK-2015,0.161543,37.096,86
Sobralia callosa,0.16143,37.0594,86
Solanum berthaultii,0.155533,37.8794,87
Solanum bulbocastanum,0.155371,37.8809,85
Solanum cheesmaniae,0.15552,37.8659,83
Solanum chilense,0.155528,37.8523,83
Solanum commersonii Lz3.2,0.155525,37.8762,86
Solanum dulcamara,0.15558,37.7979,83
Solanum galapagense,0.155474,37.8713,83
Solanum habrochaites,0.155465,37.8664,83
Solanum lycopersicum,0.155461,37.8616,87
Solanum lycopersicum,0.155461,37.8609,0
Solanum lycopersicum,0.155461,37.8603,87
Solanum lycopersicum,0.155461,37.8616,87
Solanum neorickii,0.155513,37.8734,83
Solanum nigrum,0.155432,37.9027,86
Solanum pennellii,0.155381,37.8495,0
Solanum pennellii,0.155254,37.8605,87
Solanum peruvianum,0.155561,37.845,83
Solanum pimpinellifolium,0.155442,37.8772,83
Solanum tuberosum,0.155296,37.8838,84
Soliva sessilis,0.150784,37.4649,85
Solms-laubachia eurycarpa,0.152895,36.0607,79
Sonderella linearis,0.169619,25.9717,201
Sophora alopecuroides,0.154108,36.575,81
Sophora alopecuroides,0.154108,36.575,81
Sophora alopecuroides,0.154108,36.575,81
Sorbus torminalis,0.16039,36.4817,83
Sorghastrum nutans,0.141061,38.3621,83
Sorghum bicolor,0.140754,38.4913,84
Sorghum timorense,0.140629,38.5049,84
Spathiphyllum kochii,0.163368,36.266,86
Sphagnum palustre,0.14004,36.8738,84
Spirodela polyrhiza 7498,0.168788,35.6862,87
Spirogyra maxima,0.129954,30.0537,91
Spondias bahiensis,0.162218,37.6573,86
Spondias mombin,0.162302,37.5972,86
Spondias tuberosa,0.162039,37.6798,86
Sporobolus maritimus,0.135592,38.4565,83
Spyridia filamentosa,0.175578,29.3021,218
Stachys byzantina CL1004,0.149749,38.6974,88
Stachys chamissonis CL1002,0.150254,38.5294,88
Stachys coccinea CL1003,0.150275,38.5047,88
Stachys sylvatica LVA358,0.150167,38.5617,88
Stangeria eriopus,0.163548,39.5181,81
Staurastrum punctulatum,0.157089,32.4867,103
Stegnogramma sagittifolia,0.151132,43.0041,87
Steinchisma laxum,0.139902,38.5284,83
Stenogyne bifida HI0332,0.150129,38.5129,88
Stenogyne haliakalae GEO5,0.149736,38.5285,88
Stenogyne kanehoana HSJ14046,0.150115,38.5265,88
Stephania japonica,0.157719,38.2326,85
Stichococcus bacillaris,0.116952,31.8507,85
Stigeoclonium helveticum UTEX 441,0.223902,28.8693,79
Stipa lipskyi,0.137854,38.8005,81
Stipa purpurea,0.13737,38.7923,84
Stipagrostis hirtigluma,0.138026,38.5094,82
Stockwellia quadrifida,0.159561,36.8511,85
Streptochaeta spicata,0.148617,38.2453,83
Streptostachys asperifolia,0.140576,38.5855,82
Styppeiochloa gynoglossa,0.137458,38.6533,83
Styrax grandiflorus,0.158052,36.9328,90
Swertia mussotii,0.153431,38.1592,84
Syagrus coronata,0.155053,37.4607,84
Symbiochloris reticulata,0.289394,35.9427,82
Symphyocladia dendroidea,0.171837,28.3955,210
Symplocarpus renifolius,0.158521,37.3301,85
Syntrichia ruralis,0.12263,28.3821,81
Taenioma perpusillum,0.163418,27.609,200
Taiwania cryptomerioides,0.132588,34.6253,83
Taiwania flousiana,0.131413,34.7226,83
Takakia lepidozioides,0.149016,37.0678,61
Talipariti hamabo,0.161729,36.8988,85
Tamarindus indica,0.159551,36.2404,83
Tanaecium tetragonolobum,0.153776,38.2595,79
Taraxacum amplum,0.151349,37.6791,86
Taraxacum brevicorniculatum,0.151282,37.6786,82
Taraxacum kok-saghyz,0.151338,37.7083,82
Taraxacum mongolicum,0.151451,37.6676,87
Taraxacum obtusifrons,0.151322,37.6759,85
Taraxacum officinale,0.151324,37.686,87
Taraxacum platycarpum,0.151307,37.6903,87
Tarenaya hassleriana,0.157688,35.8347,85
Taxodium distichum,0.131954,35.2615,82
Taxus baccata,0.128653,34.5907,81
Taxus mairei,0.127665,34.7198,78
Tectona grandis,0.153953,37.8927,86
Tetracentron sinense,0.164467,38.1402,92
Tetradesmus obliquus UTEX 393,0.161452,26.8922,77
Tetradesmus obliquus DOE0152z,0.167272,27.0302,0
Tetradoxa omeiensis,0.157502,37.6909,82
Tetraphis pellucida,0.127489,29.3916,82
Tetrastigma hemsleyanum,0.159889,37.5504,86
Thalassiosira oceanica,0.14179,30.395,142
Thalassiosira pseudonana,0.128814,30.6636,141
Thalassiosira weissflogii,0.127601,30.8399,141
Thamnocalamus spathiflorus,0.139778,38.8387,83
Thaumatella adunca,0.169659,26.5491,203
Themeda arguens,0.138827,38.5566,83
Themeda arundinacea,0.139742,38.4766,83
Themeda quadrivalvis,0.138961,38.5317,82
Themeda triandra,0.138865,38.5468,82
Themeda villosa,0.139589,38.493,83
Theobroma cacao,0.160619,36.8742,81
Thlaspi arvense,0.153892,36.1455,87
Thrixspermum japonicum,0.149221,36.0713,73
Thuretia quercifolia,0.17451,25.8719,212
Thyridolepis xerophila,0.140644,38.6515,83
Tibetia liangshanensis,0.123372,34.6772,76
Tibouchina longifolia,0.156789,37.0817,85
Tigridiopalma magnifica,0.155663,37.1052,84
Tolypiocladia glomerulata,0.165623,29.2417,206
Toricellia angulata,0.151336,36.9925,86
Torreya fargesii,0.137075,35.4653,82
Torreya grandis,0.136949,35.4365,88
Toxarium undulatum ECT3802,0.141681,29.7725,152
Trachelium caeruleum,0.162321,38.3278,81
Trachelomonas volvocina UTEX 1327,0.085392,27.2695,64
Trebouxiophyceae sp. MX-AZ01,0.149707,57.664,80
Treubaria triappendiculata,0.179588,27.0113,76
Trifolium boissieri,0.12574,34.8091,74
Trifolium glanduliferum,0.126149,34.4632,75
Trifolium meduseum,0.142595,34.4872,75
Trifolium strictum,0.125834,34.5392,75
Trifolium subterraneum,0.144763,34.399,74
Trigonobalanus doichangensis,0.159938,36.9893,81
Triolena amazonica,0.156652,36.8983,85
Triparma laevis,0.117514,31.7358,141
Tristachya humbertii,0.139098,38.6857,82
Trithuria inconspicua,0.165389,39.5607,94
Triticum aestivum,0.134545,38.3143,83
Triticum macha,0.135899,38.316,72
Triticum monococcum,0.116399,37.3706,79
Triticum timopheevii,0.136157,38.2904,82
Triticum turgidum,0.135835,38.3266,82
Triticum urartu,0.115773,37.3775,60
